40  [25, -51, -47, -10, -21, 14, 9, -17, 3, 7]
15  [25, -51, -47, 6, -12, 14, 8, -22, 9, 17]
17  [25, -51, -26, 33, -28, 3, 7, -33, 9, 17]
15  [25, -51, -47, 6, -21, 14, 8, -22, 9, 23]
70  [25, -51, -47, 6, -15, 3, 7, -22, 9, 17]
20  [25, -52, -37, 6, -15, 9, 7, -17, 8, 17]
33  [20, -46, -26, 22, -12, 9, 5, -33, 2, 17]
15  [25, -51, -47, 6, -21, 14, 8, -22, 9, 23]
72  [25, -51, -47, -10, -21, 14, 8, -22, 9, 17]
42  [25, -51, -47, 6, -12, 14, 9, -17, 3, 7]
13  [25, -51, -26, 33, -28, 3, 7, -22, 9, 17]
66  [25, -51, -47, 6, -21, 14, 8, -33, 9, 23]
4  [25, -51, 47, 6, 4, 14, 14, 22, -7, 6]
2  [19, -67, -63, 22, -21, -2, 9, -6, -9, -23]
9  [25, -51, -47, -16, -15, 3, 9, -17, 3, -4]
4  [9, -40, -53, 6, -25, -2, 8, -22, 9, 12]
